"_id","author_details","title","isbn","publisher","date_published","rating","bookshelf_id","bookshelf","read","series_details","pages","notes","list_price","anthology","location","read_start","read_end","format","signed","loaned_to","anthology_titles","description","genre","language","date_added","goodreads_book_id","last_goodreads_sync_date","last_update_date","book_uuid",
"312","Moore, Alan|Gibbons, Dave|Higgins, John","Watchmen","9780930289232","Dc Comics","1995-04-01","0","1,","Default,","0","Watchmen|Watchmen - Alan Moore (201\\|Collection)","416","","19.99","0","","","","Paperback","0","","","This Hugo Award-winning graphic novel chronicles the fall from grace of a group of super-heroes plagued by all-too-human failings. Along the way, the concept of the super-hero is dissected as the heroes are stalked by an unknown assassin.<br><br>One of the most influential graphic novels of all time and a perennial best-seller, <em>Watchmen</em> has been studied on college campuses across the nation and is considered a gateway title, leading readers to other graphic novels such as <em>V for Vendetta</em>, <em>Batman: The Dark Knight Returns</em> and <em>The Sandman</em> series.","Comics & Graphic Novels / Superheroes","English","2014-02-28 05:43:44","472331","2014-09-27 05:07:10","2014-09-14 23:07:38","4e397c9ecb412e7fb10b32d9f363aebd",
"313","Sim, Dave","Cerebus","0919359086","Aardvark-vanheim","1981","0","1,","Default,","0","Cerebus (1)|Cerebus Books (1)","534","","30.0","0","","","","Paperback","1","","","Reprinting Cerebus Issues 1-25 <br><br>Welcome to Estarcion, the wildly absurd and funny world of <strong>Cerebus the Aardvark</strong>. This initial volume collects the first two years of stories from Dave Sim's 300-issue magnum opus (still in progress after 20 years). Don't be discouraged by the initially crude artwork or the silliness of the stories. It gets better--even noticeably within this volume. This first installment is the most valuable in preparing for the larger stories ahead.<br><br>When we first meet Cerebus--a small, gray, and chronically ill-tempered aardvark--he is making his living as a barbarian. In 1977, when the Cerebus comic book series began, Sim initially conceived of it as a parody of such popular series as Conan, Red Sonja, and Elric but quickly mined that material and transformed the scope of the series into much more. Even by the end of this volume, the Cerebus story begins to transform beyond ""funny animal"" humor into something much more complex and interesting.<p> High points in <em>Cerebus</em> include the introduction of Lord Julius, the dictator of Palnu, who looks, acts, and talks just like a certain cigar-smoking, mustachioed comedian; Jaka, Cerebus's one true love; Elrod the Albino, an innept swordsman; and the Cockroach, the-mother-of-all-superhero-parodies and ""inspiration"" for the much-later TV and comic character--the Tick. All of these characters appear later on in the series as part of a constantly present ensemble of supporting figures.<br><br>Even if <em>Cerebus</em> doesn't knock your socks off, give its successor, <em>High Society</em> a try, as this is where the plot really gets going.</p>","Comics & Graphic Novels / Fantasy","English","2014-02-28 16:20:43","198462","2014-09-27 05:07:16","2014-09-14 23:07:40","88f132c661d9bca4bd2feb46f71e8a78",
"314","Gordon, Karen Elizabeth","Deluxe Transitive Vampire: a Handbook Of Grammar For the Innocent, the Eager and the Doomed, The","0679418601","Pantheon","1993-08-10","0","1,","Default,","0","","175","","24.95","0","","","","Hardcover","0","","","Gordon has taken her enormously successful book of English usage and expanded it to include more rules, fine points, examples, and illustrations. Playful and practical, this style book combines classic questions of usage with wit and the blackest of humor. Illus.","Language Arts & Disciplines / Grammar & Punctuation","English","2014-03-02 00:05:36","48245","2014-09-27 05:07:23","2014-09-14 23:07:44","51912a98eb2435f27711ec310955504e",
"315","Vonnegut, Kurt","Sirens Of Titan, The","9780385333498","Dial Press Trade Paperback","1998-09-08","0","1,","Default,","0","","326","","15.0","0","","","","Paperback","0","","","<em>The Sirens of Titan</em> is an outrageous romp through space, time, and morality. The richest, most depraved man on Earth, Malachi Constant, is offered a chance to take a space journey to distant worlds with a beautiful woman at his side. Of course there’s a catch to the invitation—and a prophetic vision about the purpose of human life that only Vonnegut has the courage to tell.","Fiction / Science Fiction / General","English","2014-03-02 00:06:16","304752","2014-09-27 05:07:33","2014-09-14 23:07:47","6f0506c81d573fadc3e156b94044caf7",
"316","Powers, Tim","Last Call","038072846X","William Morrow Paperbacks","1996-12-01","0","1,","Default,","0","Fault Lines (1)|The Fisher King trilogy (1)","544","","15.95","0","","","","Paperback","0","","","<p>Enchantingly dark and compellingly real, the World Fantasy Award-winning novel <em>Last Call</em> is a masterpiece of magic realism from critically acclaimed author Tim Powers. </p><p>Set in the gritty, dazzling underworld known as Las Vegas, <em>Last Call</em> tells the story of a one-eyed professional gambler who discovers that he was not the big winner in a long-ago poker game . . . and now must play for the highest stakes ever as he searches for a way to win back his soul.</p>","Fiction / Fantasy / General","English","2014-03-02 00:06:34","209690","2014-09-27 05:07:43","2014-09-14 23:07:49","7f8f0c905dbee770f0e920e10d286321",
"317","Pynchon, Thomas","Crying Of Lot 49, The","9780060913076","Harper Perennial","2006-11-07","0","1,","Default,","0","Perennial Fiction Library","152","","13.99","0","","","","Paperback","0","","","The highly original satire about Oedipa Maas, a woman who finds herself enmeshed in a worldwide conspiracy, meets some extremely interesting characters, and attains a not inconsiderable amount of self knowledge.","Fiction / Classics","English","2014-03-12 03:32:35","2794","2014-09-27 05:07:53","2014-09-14 23:07:52","9b2699639ab623ac721e9efbba5d5c99",
"318","Lovecraft, H.P.|Joshi, S.T.|Lovecraft, H. P.|Joshi, S. T.|Lovecraft, Howard Phillips","Thing On the Doorstep and Other Weird Stories, The","9780142180037","Penguin Classics","2001-10-01","0","1,","Default,","0","Penguin Classics","443","","16.0","0","","","","Paperback","0","","","Howard Phillips Lovecraft's unique contribution to American literature was a melding of traditional supernaturalism (derived chiefly from Edgar Allan Poe) with the genre of science fiction that emerged in the early 1920s. This new Penguin Twentieth-Century Classics edition brings together a dozen of the master's tales-from his early short stories ""Under the Pyramids"" (originally ghostwritten for Harry Houdini) and ""The Music of Erich Zann"" (which Lovecraft ranked second among his own favorites) through his more fully developed works, ""The Dunwich Horror,"" The Case of Charles Dexter Ward, and At the Mountains of Madness.<br><br><strong>The Thing on the Doorstep and Other Weird Stories</strong> presents the definitive corrected texts of these works, along with Lovecraft critic and biographer S. T. Joshi's illuminating introduction and notes to each story.","Fiction / Short Stories (single author)","English","2014-03-12 03:32:57","564318","2014-09-27 05:08:03","2014-09-14 23:07:58","ee79b2e8738cb7615f965bf3a245b6c9",
"319","Pynchon, Thomas","Gravity's Rainbow","9780143039945","Penguin Books","2006-10-31","0","1,","Default,","0","Penguin Classics Deluxe Edition","776","","21.0","0","","","","Paperback","0","","","Winner of the 1974 National Book Award<br><br>“A screaming comes across the sky. . .” A few months after the Germans’ secret V-2 rocket bombs begin falling on London, British Intelligence discovers that a map of the city pinpointing the sexual conquests of one Lieutenant Tyrone Slothrop, U.S. Army, corresponds identically to a map showing the V-2 impact sites. The implications of this discovery will launch Slothrop on an amazing journey across war-torn Europe, fleeing an international cabal of military-industrial superpowers, in search of the mysterious Rocket 00000, through a wildly comic extravaganza that has been hailed in The New Republic as “the most profound and accomplished American novel since the end of World War II.”","Fiction / Literary","English","2014-03-12 03:33:19","415","2014-09-27 05:08:09","2014-09-14 23:08:02","4745d19ee3f988d525e1b1224bbd3040",
"320","Vaughan, Brian K.|Guerra, Pia|Jr., José Marzán","Y: the Last Man, Vol. 5: Ring Of Truth","9781401204877","Vertigo","2005-07-01","0","1,","Default,","0","Y: The Last Man (5)|Y: The Last Man (5\\|24-31)","192","","14.99","0","","","","Paperback","0","","","<b>WINNER OF THREE EISNER AWARDS</b><p>Yorick Brown, the last man on Earth, finally makes it to San Francisco where his unbalanced sister, Hero, finds him seemingly succumbing to the male-killing plague after losing his still-unused engagement ring to the burqa-clad agents of the Setauket Ring. But is the ring really the key to his survival? And what does it have to do with the mysterious Amulet of Helene, which the Setauket leader is determined to take from Agent 355 by any means necessary. Collects issues #24-31 of the runaway hit Vertigo series by Brian K. Vaughan (EX-MACHINA, ASTONISHING X-MEN, RUNAWAYS) and Pia Guerra.</p>","","English","2014-03-12 03:33:43","156533","2014-09-27 05:08:16","2014-09-14 23:08:04","2591e4b734d7c6eb0a9d526f9ae56022",
"321","Pynchon, Thomas","V.","0060930217","Harper Perennial Modern Classics","2005-07-05","0","1,","Default,","0","Perennial Classics","547","","18.99","0","","","","Paperback","0","","","The wild, macabre tale of the twentieth century and of two men -- one looking for something he has lost, the other with nothing much to lose -- and ""V.,"" the unknown woman of the title.<br><br>Pynchon's <em>V</em>. won the coveted William Faulkner Foundation's First Novel Award when it appeared in 1963, and was hailed by <em>Atlantic Review</em> as ""one of the best works of the century"".","Fiction / Literary","English","2014-03-12 05:53:15","410","2014-09-27 05:08:23","2014-09-14 23:08:09","8ee667a772a4d630675f8dd9c6518df5",
